date,text,place
3/2/2019 1:11:19,"солёный огурец, на полу валяется, никто её не ест","Казань 1984-1991, Ульяновск 1991-1998"
3/2/2019 1:19:18,"- солёный огурец! На полу валялся, никто его не съел!","г. Кемерово, Кемеровская обл."
3/2/2019 1:19:51,- турецкий барабан.,"г. Кемерово, Кемеровская обл."
3/2/2019 1:41:40,"Соленый огурец, на полу валяется, никто его не ест",Москва
3/2/2019 1:41:56,"Жадина говядина соленый огурец,на полу валяется ни кто его не ест","Оренбургская область,Бугуруслан"
3/2/2019 1:42:36,Турецкий барабан. Кто на нем играет - Петька ....ан,Москва
3/2/2019 3:06:29,Соленый огурец / турецкий барабан,Москва
3/2/2019 3:59:27,"солёный огурец, на полу валяешься, никто тебя не ест",Новосибирск
3/2/2019 4:00:36,Соленый огурец,Город Тула
3/2/2019 4:20:27,Солёный огурец,Омск
3/2/2019 4:21:42,"Солёный огурец. На полу валяется, никто его не ест.",Омская область
3/2/2019 4:22:24,Кусок шоколадина,Омск
3/2/2019 6:45:02,солёный огурец,Горьковская область Навашинский район
3/2/2019 7:08:08,соленый огурец. На полу валяется - Никто тебя не ест!,"Светлоград, Ставропольский край"
3/2/2019 8:18:20,Соленый огурец,Краснодарский край
3/2/2019 8:25:55,"соленый огурец. На полу валяется, никто ее не ест.",Уфа
3/2/2019 8:29:39,Соленый огурец на полу валяется никто его не ест,Астрахань
3/2/2019 9:30:15,Большая шоколадина,Архангельск
3/2/2019 9:44:48,"Соленый огурец. По полу валяется, никто его не ест.","Барановичи, Брестская область, Беларусь"
3/2/2019 9:47:41,Соленый огурец,Москва
3/2/2019 10:17:06,"На пузе барабан, кто на нем играет - (имя человека) -таракан",Дер. Матушкино Костромской области
3/2/2019 10:22:49,"Солёный огурец. На полу валяется, никто его не ест.",Самара
3/2/2019 10:23:53,большая шоколадина,Ижевск
3/2/2019 10:24:39,"Солёный огурец, на полу валяется, никто его не ест.",Самара
3/2/2019 10:24:52,"соленый огурец, на полу валяется, никто его не ест",Ижевск
3/2/2019 10:26:01,"Соленый огурец, на полу валяется, никто его не ест.","Ульяновская область, село Бекетовка "
3/2/2019 10:41:57,"Соленый огурец, по полу валяется, никто его не ест",Тольятти
3/2/2019 10:42:18,Пустая шоколадина,Карелия
3/2/2019 10:43:46,"Соленый огурец, по полу валяется ни кто его не есть",Елец (Воронежская область.)
3/2/2019 10:50:32,Соленый огурец на полу валяется никто его не ест,Алма-Ата
3/2/2019 10:55:40,"Солёный огурец, по полу валяется, никто его не ест","ХМАО-Югра, г. Советский "
3/2/2019 10:59:40,Солёный огурец,Пермь
3/2/2019 11:05:07,Турецкий барабан,Москва
3/2/2019 11:05:54,Солёный огурец,Подольск
3/2/2019 11:07:42,Соленый огурец. По полу валялся - никто тебя не ест.,Тюмень
3/2/2019 11:15:12,"соленый огурец, на полу валяется никто его не ест","Семипалатинск , Казахстан"
3/2/2019 11:15:28,Вареный огурец,Челябинск
3/2/2019 11:54:44,Турецкий барабан,Москва
3/2/2019 12:02:57,Солёный огурец,Москва
3/2/2019 12:05:59,в попе шоколадина,"Альметьевск, Татарстан"
3/2/2019 12:13:36,Соленый огурец,Казань
3/2/2019 12:14:57,соленый огурец,Норильск
3/2/2019 12:17:50,"солёный огурец, на полу валяется, никто её не ест. муха прилетела, накакала и съела.",г.Орёл Орловская обл
3/2/2019 12:25:19,Турецкий барабан,"Ташкент, Москва"
3/2/2019 12:26:17,Солёный огурец,"Ташкент, Москва "
3/2/2019 12:29:45,"Солёный огурец. На полу валяется, никто его не ест. ","Чир Волгоградская область, Ыллымах, Якутия"
3/2/2019 12:31:15,Пустая шоколадина,"Ыллымах, Якутия"
3/2/2019 12:47:58,"турецкий барабан, кто на нем играет? %имя%-таракан!",Москва
3/2/2019 12:49:11,"соленый огурец, под столом валяется, никто его не ест!",Москва
3/2/2019 13:07:40,Жадина-говядина-солёный-огурец по полу катается - никто его не ест.,Брест
3/2/2019 13:10:33,"Соленый огурец, на полу валяется, никто его не ест.","МО, г. Красногорск "
